m,trajs
"7.6-64,140,31,52,191,11+1","[[832, 0], [832, 0], [832, 0], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-64,140,31,52,191,11+2","[[877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]"
"7.6-64,140,31,52,191,11+3","[[832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-64,140,31,52,191,11+4","[[877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]"
"7.6-64,140,31,52,191,11+5","[[832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-64,140,31,52,191,11+6","[[877, 0], [877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]"
"7.6-64,140,31,52,191,11+7","[[832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-64,140,31,52,191,11+8",[]
"7.6-64,140,31,52,191,11+9",[]
"7.6-64,140,31,52,191,11+10","[[879, 3], [878, 0], [878, 3], [877, 0], [877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 2], [790, 3], [789, 0], [789, 3]]"
"7.6-64,140,31,52,191,11+11",[]
"7.6-64,140,31,52,191,11+12",[]
"7.6-64,140,31,52,191,11+13",[]
"7.6-64,140,31,52,191,11+14",[]
"7.6-64,140,31,52,191,11+15","[[788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-64,140,31,52,191,11+16","[[877, 0], [877, 0], [877, 0], [877, 0], [877, 0], [877, 0], [877, 0], [877, 0], [877, 0], [877, 0], [877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 2], [790, 3], [789, 0], [789, 3]]"
"7.6-64,140,31,52,191,11+17","[[788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-64,140,31,52,191,11+18",[]
"7.6-64,140,31,52,191,11+19",[]
"7.6-64,140,31,52,191,11+20","[[877, 4], [878, 0], [878, 4]]"
"7.6-64,140,31,52,191,11+21","[[879, 3], [878, 0], [878, 3], [877, 0], [877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]"
"7.6-64,140,31,52,191,11+22","[[832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-64,140,31,52,191,11+23","[[877, 4], [878, 0], [878, 4]]"
"7.6-64,140,31,52,191,11+24","[[879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0]]"
"7.6-140,206,78,224,75,99+1",[]
"7.6-140,206,78,224,75,99+2","[[789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0]]"
"7.6-140,206,78,224,75,99+3",[]
"7.6-140,206,78,224,75,99+4",[]
"7.6-140,206,78,224,75,99+5",[]
"7.6-140,206,78,224,75,99+6",[]
"7.6-140,206,78,224,75,99+7",[]
"7.6-140,206,78,224,75,99+8","[[789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0]]"
"7.6-164,201,57,9,43,253+1",[]
"7.6-164,201,57,9,43,253+2","[[874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0]]"
"7.6-164,201,57,9,43,253+3",[]
"7.6-164,201,57,9,43,253+4",[]
"7.6-164,201,57,9,43,253+5",[]
"7.6-164,201,57,9,43,253+6","[[874, 0], [874, 0], [874, 0], [874, 0]]"
"7.6-164,204,185,229,56,107+1","[[988, 0], [988, 0], [988, 0], [988, 0], [988, 0], [988, 0]]"
"7.6-164,204,185,229,56,107+2",[]
"7.6-164,204,185,229,56,107+3",[]
"7.6-164,204,185,229,56,107+4",[]
"7.6-164,204,185,229,56,107+5",[]
"7.6-164,204,185,229,56,107+6","[[1071, 3], [1070, 0], [1070, 1], [1110, 0], [1110, 3], [1109, 0], [1109, 3], [1108, 0], [1108, 1], [1148, 0], [1148, 3], [1147, 0], [1147, 0], [1147, 3], [1146, 0], [1146, 0], [1146, 0], [1146, 2], [1106, 0], [1106, 3]]"
"7.6-164,204,185,229,56,107+7","[[1105, 4], [1106, 0], [1106, 1], [1146, 0], [1146, 0], [1146, 0], [1146, 4], [1147, 0], [1147, 0], [1147, 4], [1148, 0], [1148, 2], [1108, 0], [1108, 4], [1109, 0], [1109, 4], [1110, 0], [1110, 2], [1070, 0], [1070, 4]]"
"7.6-164,204,185,229,56,107+8","[[1071, 0], [1071, 2], [1031, 0], [1031, 0], [1031, 4], [1032, 0], [1032, 2], [992, 0], [992, 0], [992, 4], [993, 1], [1033, 0], [1033, 2], [993, 0], [993, 2], [953, 0], [953, 4], [954, 0], [954, 0], [954, 2], [914, 0], [914, 2], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]"
"7.6-164,204,185,229,56,107+9","[[832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 1], [829, 0], [829, 1], [869, 3], [868, 0], [868, 0], [868, 1], [908, 0], [908, 3], [907, 0], [907, 1], [947, 0], [947, 3], [946, 0], [946, 3], [945, 0], [945, 1]]"
"7.6-164,204,185,229,56,107+10",[]
"7.6-8,74,207,99,147,223+1","[[832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3], [788, 0], [788, 2], [748, 3], [747, 0], [747, 3], [746, 2], [706, 0], [706, 2], [666, 3], [665, 0], [665, 3], [664, 0], [664, 2], [624, 3], [623, 0], [623, 0], [623, 2], [583, 3], [582, 0], [582, 2], [542, 3], [541, 0], [541, 3], [540, 3], [539, 2], [499, 0], [499, 0], [499, 2], [459, 0], [459, 4], [460, 0], [460, 2]]"
"7.6-8,74,207,99,147,223+2","[[420, 0], [420, 0], [420, 0], [420, 1], [460, 0], [460, 3], [459, 0], [459, 1], [499, 0], [499, 0], [499, 4], [500, 1], [540, 4], [541, 0], [541, 4], [542, 1], [582, 0], [582, 4], [583, 1], [623, 0], [623, 0], [623, 1], [663, 0], [663, 1], [703, 0], [703, 1], [743, 0]]"
"7.6-8,74,207,99,147,223+3","[[743, 0], [743, 2], [703, 0], [703, 2], [663, 0], [663, 2], [623, 0], [623, 0], [623, 3], [622, 2], [582, 0], [582, 2], [542, 3], [541, 0], [541, 3], [540, 3], [539, 2], [499, 0], [499, 0], [499, 2], [459, 0], [459, 4], [460, 0], [460, 2]]"
"7.6-8,74,207,99,147,223+4","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1], [499, 0], [499, 0], [499, 4], [500, 4], [501, 1], [541, 0], [541, 1], [581, 4], [582, 0], [582, 1], [622, 4], [623, 0], [623, 0], [623, 1], [663, 4], [664, 0], [664, 4], [665, 0], [665, 4], [666, 1], [706, 0], [706, 4], [707, 1], [747, 0], [747, 4], [748, 1], [788, 0], [788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4]]"
"7.6-8,74,207,99,147,223+5","[[832, 3], [831, 3], [830, 0], [830, 2], [790, 3], [789, 0], [789, 3], [788, 0], [788, 3], [787, 2], [747, 0], [747, 2], [707, 3], [706, 0], [706, 2], [666, 3], [665, 0], [665, 3], [664, 0], [664, 2], [624, 3], [623, 0], [623, 0], [623, 3], [622, 2], [582, 0], [582, 2], [542, 3], [541, 0], [541, 3], [540, 3], [539, 2], [499, 0], [499, 0], [499, 2], [459, 0], [459, 4], [460, 0], [460, 2]]"
"7.6-8,74,207,99,147,223+6","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1], [499, 0], [499, 0], [499, 4], [500, 1], [540, 4], [541, 0], [541, 1], [581, 4], [582, 0], [582, 1], [622, 4], [623, 0], [623, 0], [623, 1], [663, 4], [664, 0], [664, 4], [665, 0], [665, 1], [705, 4], [706, 0], [706, 1], [746, 4], [747, 0], [747, 1], [787, 4]]"
"7.6-8,74,207,99,147,223+7","[[788, 0], [788, 3], [787, 2], [747, 0], [747, 3], [746, 2], [706, 0], [706, 2], [666, 3], [665, 0], [665, 3], [664, 0], [664, 2], [624, 3], [623, 0], [623, 0], [623, 3], [622, 2], [582, 0], [582, 2], [542, 3], [541, 0], [541, 3], [540, 3], [539, 2], [499, 0], [499, 0], [499, 2], [459, 0], [459, 4], [460, 0], [460, 2]]"
"7.6-8,74,207,99,147,223+8","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1], [499, 0], [499, 0], [499, 4], [500, 1], [540, 4], [541, 0], [541, 4], [542, 1], [582, 0], [582, 1], [622, 4], [623, 0], [623, 0], [623, 4], [624, 1], [664, 0], [664, 4], [665, 0], [665, 1], [705, 4], [706, 0], [706, 1], [746, 4], [747, 0], [747, 4], [748, 1]]"
"7.6-8,74,207,99,147,223+9","[[788, 0], [788, 0], [788, 0], [788, 0], [788, 2], [748, 3], [747, 0], [747, 1], [787, 3], [786, 0], [786, 3], [785, 0], [785, 0], [785, 3], [784, 0], [784, 0], [784, 3], [783, 2]]"
"7.6-8,74,207,99,147,223+10","[[743, 1], [783, 4], [784, 0], [784, 0], [784, 4], [785, 0], [785, 0], [785, 4], [786, 0], [786, 2], [746, 4], [747, 0], [747, 4], [748, 1], [788, 0], [788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4]]"
"7.6-8,74,207,99,147,223+11","[[832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3]]"
"7.6-8,74,207,99,147,223+12","[[788, 2], [748, 3], [747, 0], [747, 2], [707, 3], [706, 0], [706, 2], [666, 3], [665, 0], [665, 3], [664, 0], [664, 3], [663, 2]]"
"7.6-8,74,207,99,147,223+13","[[623, 0], [623, 0], [623, 4], [624, 1], [664, 0], [664, 4], [665, 0], [665, 4], [666, 1], [706, 0], [706, 4], [707, 1], [747, 0], [747, 1], [787, 4]]"
"7.6-8,74,207,99,147,223+14","[[788, 2], [748, 3], [747, 0], [747, 2], [707, 3], [706, 0], [706, 3], [705, 2], [665, 0], [665, 3], [664, 0], [664, 3], [663, 2]]"
"7.6-8,74,207,99,147,223+15","[[623, 4], [624, 1], [664, 0], [664, 4], [665, 2], [625, 0], [625, 0], [625, 2], [585, 0], [585, 4], [586, 0], [586, 0], [586, 4], [587, 0], [587, 0]]"
"7.6-8,74,207,99,147,223+16","[[587, 0], [587, 0], [587, 3], [586, 0], [586, 0], [586, 3], [585, 0], [585, 2], [545, 3], [544, 0], [544, 0], [544, 2], [504, 0], [504, 3], [503, 0], [503, 3], [502, 2], [462, 0], [462, 3], [461, 0], [461, 3], [460, 0], [460, 2]]"
"7.6-8,74,207,99,147,223+17","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1], [499, 0], [499, 0], [499, 4], [500, 4], [501, 1], [541, 0], [541, 4], [542, 1], [582, 0], [582, 1], [622, 4], [623, 0]]"
"7.6-8,74,207,99,147,223+18","[[623, 4], [624, 1], [664, 0], [664, 2], [624, 4], [625, 0], [625, 0], [625, 2], [585, 0], [585, 4], [586, 0], [586, 0], [586, 4], [587, 0], [587, 0]]"
"7.6-8,74,207,99,147,223+19","[[587, 0], [587, 0], [587, 3], [586, 0], [586, 0], [586, 3], [585, 0], [585, 2], [545, 3], [544, 0], [544, 0], [544, 2], [504, 0], [504, 3], [503, 0], [503, 2], [463, 3], [462, 0], [462, 3], [461, 0], [461, 3], [460, 0], [460, 2]]"
"7.6-8,74,207,99,147,223+20","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1], [499, 0], [499, 0], [499, 4], [500, 4], [501, 1], [541, 0], [541, 4], [542, 1], [582, 0], [582, 1], [622, 4], [623, 0], [623, 0], [623, 1], [663, 0], [663, 1], [703, 0], [703, 1], [743, 0]]"
"7.6-8,74,207,99,147,223+21","[[743, 0], [743, 2], [703, 0], [703, 2], [663, 0], [663, 2]]"
"7.6-8,74,207,99,147,223+22","[[623, 1], [663, 4], [664, 0], [664, 4], [665, 0], [665, 1], [705, 4], [706, 0], [706, 1], [746, 4], [747, 0], [747, 1], [787, 4]]"
"7.6-8,74,207,99,147,223+23","[[788, 4], [789, 0], [789, 1], [829, 4], [830, 0], [830, 4], [831, 4]]"
"7.6-8,74,207,99,147,223+24","[[832, 3], [831, 3], [830, 0], [830, 2], [790, 3], [789, 0], [789, 3]]"
"7.6-8,74,207,99,147,223+25","[[788, 3], [787, 2], [747, 0], [747, 3], [746, 1], [786, 0], [786, 3], [785, 0], [785, 0], [785, 3], [784, 0], [784, 0], [784, 3], [783, 2]]"
"7.6-8,74,207,99,147,223+26","[[743, 0], [743, 2], [703, 0], [703, 2], [663, 0], [663, 2]]"
"7.6-8,74,207,99,147,223+27","[[623, 1], [663, 4], [664, 0], [664, 4], [665, 0], [665, 1], [705, 4], [706, 0], [706, 1], [746, 4], [747, 0], [747, 4], [748, 1]]"
"7.6-8,74,207,99,147,223+28","[[788, 4], [789, 0], [789, 1], [829, 4], [830, 0], [830, 4], [831, 4]]"
"7.6-8,74,207,99,147,223+29","[[832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-8,74,207,99,147,223+30","[[877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]"
"7.6-8,74,207,99,147,223+31","[[832, 3], [831, 3], [830, 0], [830, 2], [790, 3], [789, 0], [789, 3], [788, 0], [788, 2], [748, 3], [747, 0], [747, 3], [746, 1], [786, 0], [786, 3], [785, 0], [785, 0], [785, 3], [784, 0], [784, 0], [784, 3], [783, 2]]"
"7.6-8,74,207,99,147,223+32",[]
"7.6-172,115,82,76,172,89+1","[[832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 1], [914, 0], [914, 1], [954, 0], [954, 0], [954, 3], [953, 0], [953, 1], [993, 0], [993, 1], [1033, 0], [1033, 2], [993, 3], [992, 0], [992, 0], [992, 1], [1032, 0], [1032, 3], [1031, 0], [1031, 0], [1031, 1]]"
"7.6-172,115,82,76,172,89+2","[[1071, 2], [1031, 0], [1031, 0], [1031, 4], [1032, 0], [1032, 2], [992, 0], [992, 0], [992, 4], [993, 1], [1033, 0], [1033, 2], [993, 0], [993, 2], [953, 0], [953, 4], [954, 0], [954, 0], [954, 2], [914, 0], [914, 2], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]"
"7.6-172,115,82,76,172,89+3","[[832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-172,115,82,76,172,89+4","[[877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]"
"7.6-172,115,82,76,172,89+5","[[832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-172,115,82,76,172,89+6","[[877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]"
"7.6-172,115,82,76,172,89+7","[[832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-172,115,82,76,172,89+8","[[877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]"
"7.6-172,115,82,76,172,89+9",[]
"7.6-172,115,82,76,172,89+10",[]
"7.6-172,115,82,76,172,89+11",[]
"7.6-172,115,82,76,172,89+12","[[789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0]]"
"7.6-164,125,159,153,152,106+1","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1], [499, 0], [499, 0], [499, 4], [500, 1], [540, 4], [541, 0], [541, 4], [542, 1], [582, 0], [582, 4], [583, 1], [623, 0], [623, 0], [623, 1], [663, 4], [664, 0], [664, 4], [665, 0], [665, 4], [666, 1], [706, 0], [706, 1], [746, 4], [747, 0], [747, 1], [787, 4]]"
"7.6-164,125,159,153,152,106+2",[]
"7.6-164,125,159,153,152,106+3","[[503, 0], [503, 0], [503, 0], [503, 0], [503, 0]]"
"7.6-164,125,159,153,152,106+4",[]
"7.6-164,125,159,153,152,106+5","[[503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0]]"
"7.6-20,94,105,93,76,199+1",[]
"7.6-20,94,105,93,76,199+2",[]
"7.6-20,94,105,93,76,199+3",[]
"7.6-20,94,105,93,76,199+4",[]
"7.6-20,94,105,93,76,199+5","[[877, 0], [877, 0], [877, 0], [877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]"
"7.6-20,94,105,93,76,199+6","[[832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.6-20,94,105,93,76,199+7","[[877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3]]"
"7.6-20,94,105,93,76,199+8",[]
"7.6-20,94,105,93,76,199+9",[]
"7.6-20,94,105,93,76,199+10",[]
"7.6-36,161,96,62,65,247+1","[[985, 2], [945, 0], [945, 4], [946, 0], [946, 4], [947, 0], [947, 2], [907, 0], [907, 4], [908, 0], [908, 2], [868, 0], [868, 0], [868, 2], [828, 4], [829, 0], [829, 2], [789, 0], [789, 3], [788, 0], [788, 2], [748, 3], [747, 0], [747, 3], [746, 2], [706, 0], [706, 3], [705, 2], [665, 0], [665, 3], [664, 0], [664, 2], [624, 3], [623, 0], [623, 0], [623, 2], [583, 3], [582, 0], [582, 2], [542, 3], [541, 0], [541, 3], [540, 3], [539, 2], [499, 0], [499, 0], [499, 2], [459, 0], [459, 4], [460, 0], [460, 2]]"
"7.6-36,161,96,62,65,247+2","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1]]"
"7.6-36,161,96,62,65,247+3","[[499, 2], [459, 0], [459, 4], [460, 0], [460, 2]]"
"7.6-36,161,96,62,65,247+4","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1]]"
"7.6-36,161,96,62,65,247+5","[[499, 2], [459, 0], [459, 4], [460, 0], [460, 4], [461, 0], [461, 4], [462, 0], [462, 4], [463, 1], [503, 0], [503, 4], [504, 0], [504, 1], [544, 0], [544, 0], [544, 4], [545, 1], [585, 0], [585, 4], [586, 0], [586, 0], [586, 4], [587, 0], [587, 0]]"
"7.6-36,161,96,62,65,247+6","[[587, 0], [587, 0], [587, 3], [586, 0], [586, 0], [586, 3], [585, 0], [585, 1], [625, 0], [625, 0], [625, 3], [624, 1], [664, 0], [664, 3], [663, 2]]"
"7.6-36,161,96,62,65,247+7","[[623, 4], [624, 1], [664, 0], [664, 4], [665, 0], [665, 4], [666, 1], [706, 0], [706, 4], [707, 1], [747, 0], [747, 1], [787, 4]]"
"7.6-36,161,96,62,65,247+8","[[788, 3], [787, 2], [747, 0], [747, 2], [707, 3], [706, 0], [706, 2], [666, 3], [665, 0], [665, 3], [664, 0], [664, 2], [624, 3]]"
"7.6-36,161,96,62,65,247+9",[]
"7.6-24,208,197,242,97,13+1","[[1071, 3], [1070, 0], [1070, 1], [1110, 0], [1110, 3], [1109, 0], [1109, 3], [1108, 0], [1108, 1], [1148, 0], [1148, 3], [1147, 0], [1147, 0], [1147, 3], [1146, 0], [1146, 0], [1146, 0], [1146, 2], [1106, 0], [1106, 3]]"
"7.6-24,208,197,242,97,13+2","[[1105, 2], [1065, 0], [1065, 0], [1065, 3], [1064, 2], [1024, 0], [1024, 0], [1024, 2], [984, 0], [984, 4], [985, 0], [985, 2], [945, 0], [945, 4], [946, 0], [946, 4], [947, 0], [947, 2], [907, 0], [907, 4], [908, 0], [908, 2], [868, 0], [868, 0], [868, 4], [869, 2], [829, 0], [829, 2], [789, 0], [789, 3]]"
"7.6-24,208,197,242,97,13+3","[[788, 0], [788, 4], [789, 0], [789, 1], [829, 4], [830, 0], [830, 4], [831, 4]]"
"7.6-24,208,197,242,97,13+4","[[832, 0], [832, 0]]"
"7.6-248,45,124,72,127,16+1","[[623, 0], [623, 2], [583, 3], [582, 0], [582, 3], [581, 2], [541, 0], [541, 3], [540, 3], [539, 2], [499, 0], [499, 0], [499, 2], [459, 0], [459, 4], [460, 0], [460, 2]]"
"7.6-248,45,124,72,127,16+2","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1], [499, 0], [499, 0], [499, 4], [500, 4], [501, 1], [541, 0], [541, 1], [581, 4], [582, 0], [582, 1], [622, 4], [623, 0]]"
"7.6-248,45,124,72,127,16+3","[[623, 0], [623, 0], [623, 2], [583, 3], [582, 0], [582, 3], [581, 2], [541, 0], [541, 3], [540, 2], [500, 3], [499, 0], [499, 0], [499, 2], [459, 0], [459, 4], [460, 0], [460, 2]]"
"7.6-248,45,124,72,127,16+4","[[420, 1], [460, 0], [460, 4], [461, 0], [461, 4], [462, 0], [462, 1], [502, 4], [503, 0], [503, 4], [504, 0], [504, 1], [544, 0], [544, 0], [544, 1], [584, 4], [585, 0], [585, 4], [586, 0], [586, 0], [586, 4], [587, 0], [587, 0]]"
"7.6-248,45,124,72,127,16+5","[[587, 0], [587, 0], [587, 3], [586, 0], [586, 0], [586, 3], [585, 0], [585, 1], [625, 0], [625, 0], [625, 3], [624, 1], [664, 0], [664, 2], [624, 3]]"
"7.6-248,45,124,72,127,16+6","[[623, 4], [624, 1], [664, 0], [664, 2], [624, 4], [625, 0], [625, 0], [625, 2], [585, 0], [585, 4], [586, 0], [586, 0], [586, 4], [587, 0], [587, 0]]"
"7.6-248,45,124,72,127,16+7","[[587, 0], [587, 0], [587, 3], [586, 0], [586, 0], [586, 3], [585, 0], [585, 1], [625, 0], [625, 0], [625, 3], [624, 1], [664, 0], [664, 3], [663, 2]]"
"7.6-248,45,124,72,127,16+8",[]
"7.6-248,45,124,72,127,16+9",[]
"7.6-248,45,124,72,127,16+10",[]
"7.6-248,45,124,72,127,16+11",[]
